locus tag	organism	symbol	Gene ID	PFAM
S1	S. aureus NCTC8325	S1		
SAOUHSC_00001	S. aureus NCTC8325	dnaA	3919798	Bac_DnaA
S2	S. aureus NCTC8325	S2		
SAOUHSC_00002	S. aureus NCTC8325	SAOUHSC_00002	3919799	DNA_pol3_beta
SAOUHSC_00003	S. aureus NCTC8325	SAOUHSC_00003	3919176	S4_2
SAOUHSC_00004	S. aureus NCTC8325	recF	3919177	SMC_N
SAOUHSC_00005	S. aureus NCTC8325	SAOUHSC_00005	3919178	DNA_gyraseB
SAOUHSC_00006	S. aureus NCTC8325	SAOUHSC_00006	3919179	DNA_topoisoIV
SAOUHSC_00007	S. aureus NCTC8325	SAOUHSC_00007	3919180	Carb_kinase
S3	S. aureus NCTC8325	S3		
SAOUHSC_00008	S. aureus NCTC8325	SAOUHSC_00008	3919181	Lyase_aromatic
S4	S. aureus NCTC8325	S4		
S5	S. aureus NCTC8325	S5		
SAOUHSC_00009	S. aureus NCTC8325	SAOUHSC_00009	3919182	tRNA-synt_2b
S6	S. aureus NCTC8325	S6		
SAOUHSC_00010	S. aureus NCTC8325	SAOUHSC_00010	3919183	AzlC
SAOUHSC_00012	S. aureus NCTC8325	SAOUHSC_00012	3919184	AzlD
S7	S. aureus NCTC8325	S7		
SAOUHSC_00013	S. aureus NCTC8325	SAOUHSC_00013	3919185	Abhydrolase_1
S8	S. aureus NCTC8325	S8		
SAOUHSC_00014	S. aureus NCTC8325	SAOUHSC_00014	3919186	DUF2232
SAOUHSC_00015	S. aureus NCTC8325	SAOUHSC_00015	3919187	DHH
SAOUHSC_00017	S. aureus NCTC8325	rplI	3919188	Ribosomal_L9_C
SAOUHSC_00018	S. aureus NCTC8325	SAOUHSC_00018	3919189	DnaB_C
SAOUHSC_00019	S. aureus NCTC8325	SAOUHSC_00019	3919190	Adenylsucc_synt
SAOUHSC_T00018	S. aureus NCTC8325	SAOUHSC_T00018	3921337	
SAOUHSC_T00011	S. aureus NCTC8325	SAOUHSC_T00011	3921330	
S9	S. aureus NCTC8325	S9		
SAOUHSC_00020	S. aureus NCTC8325	SAOUHSC_00020	3919191	Response_reg
SAOUHSC_00021	S. aureus NCTC8325	SAOUHSC_00021	3919192	HATPase_c
SAOUHSC_00022	S. aureus NCTC8325	SAOUHSC_00022	3919193	YycH
SAOUHSC_00023	S. aureus NCTC8325	SAOUHSC_00023	3919194	YycI
S10	S. aureus NCTC8325	S10		
SAOUHSC_00024	S. aureus NCTC8325	SAOUHSC_00024	3919195	Lactamase_B
SAOUHSC_00025	S. aureus NCTC8325	SAOUHSC_00025	3919293	5_nucleotid_C
SAOUHSC_00026	S. aureus NCTC8325	SAOUHSC_00026	3919294	
S11	S. aureus NCTC8325	S11		
SAOUHSC_00027	S. aureus NCTC8325	SAOUHSC_00027	3919295	SPOUT_MTase
S12	S. aureus NCTC8325	S12		
SAOUHSC_00028	S. aureus NCTC8325	SAOUHSC_00028	3919296	CCSMST1
SAOUHSC_00029	S. aureus NCTC8325	SAOUHSC_00029	3919297	
S13	S. aureus NCTC8325	S13		
SAOUHSC_00030	S. aureus NCTC8325	SAOUHSC_00030	3919298	Exotox-A_bind
S14	S. aureus NCTC8325	S14		
SAOUHSC_00031	S. aureus NCTC8325	SAOUHSC_00031	3919299	Dus
SAOUHSC_00032	S. aureus NCTC8325	SAOUHSC_00032	3919300	
S15	S. aureus NCTC8325	S15		
SAOUHSC_00033	S. aureus NCTC8325	SAOUHSC_00033	3919301	TauE
SAOUHSC_00034	S. aureus NCTC8325	SAOUHSC_00034	3919302	Trns_repr_metal
SAOUHSC_00035	S. aureus NCTC8325	SAOUHSC_00035	3919303	DrsE_2
SAOUHSC_00036	S. aureus NCTC8325	SAOUHSC_00036	3919304	Rhodanese
SAOUHSC_00037	S. aureus NCTC8325	SAOUHSC_00037	3919305	Pyr_redox_2
S16	S. aureus NCTC8325	S16		
SAOUHSC_00038	S. aureus NCTC8325	SAOUHSC_00038	3919306	Usp
S17	S. aureus NCTC8325	S17		
SAOUHSC_00039	S. aureus NCTC8325	SAOUHSC_00039	3919307	Dus
S18	S. aureus NCTC8325	S18		
S19	S. aureus NCTC8325	S19		
SAOUHSC_00040	S. aureus NCTC8325	SAOUHSC_00040	3919308	DUF3307
SAOUHSC_00041	S. aureus NCTC8325	SAOUHSC_00041	3919309	TfoX_N
SAOUHSC_00042	S. aureus NCTC8325	SAOUHSC_00042	3919310	MFS_1
SAOUHSC_00043	S. aureus NCTC8325	SAOUHSC_00043	3919311	Flavodoxin_2
SAOUHSC_00044	S. aureus NCTC8325	SAOUHSC_00044	3919077	HTH_1
S20	S. aureus NCTC8325	S20		
S21	S. aureus NCTC8325	S21		
SAOUHSC_00045	S. aureus NCTC8325	SAOUHSC_00045	3919078	DUF4865
SAOUHSC_00046	S. aureus NCTC8325	SAOUHSC_00046	3919079	HTH_1
SAOUHSC_00047	S. aureus NCTC8325	SAOUHSC_00047	3919080	TM2
SAOUHSC_00049	S. aureus NCTC8325	SAOUHSC_00049	3919081	Viral_helicase1
SAOUHSC_00050	S. aureus NCTC8325	SAOUHSC_00050	3919082	DUF1980
SAOUHSC_00051	S. aureus NCTC8325	SAOUHSC_00051	3919083	PI-PLC-X
SAOUHSC_00052	S. aureus NCTC8325	SAOUHSC_00052	3919084	DUF576
SAOUHSC_00053	S. aureus NCTC8325	SAOUHSC_00053	3919085	DUF576
SAOUHSC_00054	S. aureus NCTC8325	SAOUHSC_00054	3919086	DUF576
SAOUHSC_00055	S. aureus NCTC8325	SAOUHSC_00055	3919087	DUF576
S22	S. aureus NCTC8325	S22		
S23	S. aureus NCTC8325	S23		
SAOUHSC_00056	S. aureus NCTC8325	SAOUHSC_00056	3919088	HTH_18
SAOUHSC_00057	S. aureus NCTC8325	SAOUHSC_00057	3919089	Peptidase_M20
SAOUHSC_00058	S. aureus NCTC8325	SAOUHSC_00058	3919090	MFS_1
S24	S. aureus NCTC8325	S24		
S25	S. aureus NCTC8325	S25		
SAOUHSC_00060	S. aureus NCTC8325	SAOUHSC_00060	3919091	Na_Pi_cotrans
SAOUHSC_00061	S. aureus NCTC8325	SAOUHSC_00061	3919092	MCRA
SAOUHSC_00062	S. aureus NCTC8325	SAOUHSC_00062	3919093	EamA
SAOUHSC_00064	S. aureus NCTC8325	SAOUHSC_00064	3919094	Aminotran_1_2
S26	S. aureus NCTC8325	S26		
SAOUHSC_00065	S. aureus NCTC8325	SAOUHSC_00065	3919095	DUF1648
S27	S. aureus NCTC8325	S27		
S28	S. aureus NCTC8325	S28		
SAOUHSC_00067	S. aureus NCTC8325	SAOUHSC_00067	3919096	Lactate_perm
S29	S. aureus NCTC8325	S29		
SAOUHSC_00069	S. aureus NCTC8325	SAOUHSC_00069	3919448	B
SAOUHSC_00070	S. aureus NCTC8325	SAOUHSC_00070	3919449	MarR
SAOUHSC_00071	S. aureus NCTC8325	SAOUHSC_00071	3919450	FecCD
S30	S. aureus NCTC8325	S30		
SAOUHSC_00072	S. aureus NCTC8325	SAOUHSC_00072	3919451	FecCD
SAOUHSC_00074	S. aureus NCTC8325	SAOUHSC_00074	3919452	Peripla_BP_2
S31	S. aureus NCTC8325	S31		
S32	S. aureus NCTC8325	S32		
SAOUHSC_00075	S. aureus NCTC8325	SAOUHSC_00075	3919453	PALP
